"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"8150c856-a6be-4c79-b42b-e0b98fa09e71","Book10.xml","Μῆδον","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::141;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::146","","","","","","","","","","","",""
"904d09be-70ec-4afd-8c9f-8f0dc988e879","Book10.xml","Ἕλληνας","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::151;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::158","PLACE","http://pleiades.stoa.org/places/1001896","Hellas","-0550/2100","37.5","22.5","province","VERIFIED","regional|Hellenes|proxy","","",""
"27be1f51-a2ef-4fc9-837c-fcb06bdc3986","Book10.xml","Φωκεῖς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::186;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::192","PLACE","http://pleiades.stoa.org/places/541048","Phocis","","38.25","22.25","unknown","VERIFIED","regional|Phocians|proxy","","",""
"0930f957-013b-47a8-b763-e5b8606ad7bd","Book10.xml","Ὑάμπολιν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::222;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::230","PLACE","http://dare.ht.lu.se/places/23112","Hyampolis, Hyampolis|Hyampolis","-0550/0300","38.596346","22.905228","settlement","VERIFIED","built|polis","","",""
"33ec40e8-ae25-4731-b84b-a586d7268293","Book10.xml","Θεσσαλοὺς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::239;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::248","PLACE","http://pleiades.stoa.org/places/1332","Thessalia","","39.6","22.2","region","VERIFIED","regional|Thessalians|proxy","","",""
"61084af7-b165-4c5e-8bac-b476306f67b1","Book10.xml","Θεσσαλῶν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::387;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::395","PLACE","http://pleiades.stoa.org/places/1332","Thessalia","","39.6","22.2","region","VERIFIED","regional|Thessalians|proxy","","",""
"0aacc0d6-4798-44ec-abb3-685d6819eb7b","Book10.xml","Φωκέων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::429;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[3]/p[1]::435","PLACE","http://pleiades.stoa.org/places/541048","Phocis","","38.25","22.25","unknown","VERIFIED","regional|Phocians|proxy","","",""
"e9a26ff2-da67-41f5-bbed-9647e356d7d1","Book10.xml","Θεσσαλοὶ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::9;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::17","PLACE","http://pleiades.stoa.org/places/1332","Thessalia","","39.6","22.2","region","VERIFIED","regional|Thessalians|proxy","","",""
"ac807049-e303-4cb3-871d-173d079b1a9f","Book10.xml","Φωκέας","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::47;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::53","PLACE","http://pleiades.stoa.org/places/541048","Phocis","","38.25","22.25","unknown","VERIFIED","regional|Phocians|proxy","","",""
"d12b0d3b-e048-4d5d-906e-b5ba1b94d34e","Book10.xml","Φωκίδα","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::116;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::122","PLACE","http://pleiades.stoa.org/places/541048","Phocis","","38.25","22.25","unknown","VERIFIED","regional","","",""
"2ec367f4-a821-4a86-8150-4670ad44be2e","Book10.xml","Φωκεῖς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::148;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::154","PLACE","http://pleiades.stoa.org/places/541048","Phocis","","38.25","22.25","unknown","VERIFIED","regional|Phocians|proxy","","",""
"9b2d974d-bfb4-4c78-a150-23319e532f47","Book10.xml","Θεσσαλῶν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::203;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::211","PLACE","http://pleiades.stoa.org/places/1332","Thessalia","","39.6","22.2","region","VERIFIED","regional|Thessalians|proxy","","",""
"7f014b28-811c-488a-8069-c21c2c0d50f1","Book10.xml","Δελφοὺς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::371;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::378","PLACE","http://pleiades.stoa.org/places/540726","Delphi/Delphoi, Delphi|Delphi","-0750/2100","38.482289","22.501169","sanctuary,settlement","VERIFIED","built|hieron","","",""
"962dc903-25ac-448a-b92c-36bc3d4644e3","Book10.xml","μάντευμα","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::448;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]::456","","","","","","","","","oracle|Q106902054|work","","",""
"50d6b5c9-bdae-4edf-bcb8-989ce6df4fa1","Book10.xml","συμβαλέω","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]/quote[1]/l[1]::0;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]/quote[1]/l[1]::8","","","","","","","","","BEGIN","","",""
"3562799c-cadd-4689-9547-61e60e45797f","Book10.xml","μᾶλλον","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]/quote[1]/l[2]::38;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[4]/p[1]/quote[1]/l[2]::44","","","","","","","","","END","","",""
"aa87a6b1-a2e3-4382-9fda-6c0ec7f55733","Book10.xml","Φωκεῖς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::21;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::27","PLACE","http://pleiades.stoa.org/places/541048","Phocis","","38.25","22.25","unknown","VERIFIED","regional|Phocians|proxy","","",""
"1f23d1b8-0800-4cc3-8957-09dd711e509a","Book10.xml","Γέλωνα","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::53;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::59","PERSON","","","","","","","","Q87192169|male|Phocian|war leader","Gelon","",""
"6c8196cf-4742-4752-8916-2ebf9ac1c406","Book10.xml","Θεσσαλῶν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::175;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::183","PLACE","http://pleiades.stoa.org/places/1332","Thessalia","","39.6","22.2","region","VERIFIED","regional|Thessalians|proxy","","",""
"39fcc712-0084-4e7b-a31c-87e696bb47b3","Book10.xml","Θεσσαλῶν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::332;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::340","PLACE","http://pleiades.stoa.org/places/1332","Thessalia","","39.6","22.2","region","VERIFIED","regional|Thessalians|proxy","","",""
"81dd50e1-a48f-4a7f-ae8f-9bba4f4bfafd","Book10.xml","Γέλων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::400;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::405","PERSON","","","","","","","","Q87192169|male|Phocian|war leader","","",""
"11867a63-ccf4-4685-a619-4438ce49d2f1","Book10.xml","Φωκέων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[6]/p[1]::59;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[6]/p[1]::65","PLACE","http://pleiades.stoa.org/places/541048","Phocis","","38.25","22.25","unknown","VERIFIED","regional|Phocians|proxy","","",""
"b20e21a2-b5b9-4347-afaa-2ea5d8fc2945","Book10.xml","Φωκέας","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[7]/p[1]::48;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[7]/p[1]::54","PLACE","http://pleiades.stoa.org/places/541048","Phocis","","38.25","22.25","unknown","VERIFIED","regional|Phocians|proxy","","",""
"15e3cde6-5b86-4a6b-a2a4-bbb1fcb668f2","Book10.xml","Θεσσαλῶν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[7]/p[1]::273;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[7]/p[1]::281","PLACE","http://pleiades.stoa.org/places/1332","Thessalia","","39.6","22.2","region","VERIFIED","regional|Thessalians|proxy","","",""
