"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"2cbc3eae-6f4c-4174-bdd5-2dd0398846db","34.4-38.7","Τρίκρανα","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::324;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::332","PLACE","http://pleiades.stoa.org/places/570752","Trikrana Ins., Trikeri|Trikrana Ins.","","37.26444","23.28241","island","VERIFIED","physical|nēsos|Paus","","",""
"f45cd5ac-9a46-4d6d-b065-fcfeffaf9d4c","34.4-38.7","θάλασσαν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::355;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::363","PLACE","http://pleiades.stoa.org/places/560221","Aegaeum Mare","-0550/2100","37.42245628773585","25.8829628235849","water-open","VERIFIED","physical|thalassa|Paus","","",""
"300eba4c-580f-42ea-8cf0-aba65d9a4628","34.4-38.7","Πελοποννήσου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::372;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::384","PLACE","http://pleiades.stoa.org/places/570577","Peloponnesus/Peloponnesos/Peloponnese","-0550/0640","37.25289777692308","22.312752688461543","peninsula,region","VERIFIED","regional","","",""
"256e4c54-0701-4b21-b80e-30a56b64184b","34.4-38.7","Βούπορθμος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::399;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::409","PLACE","http://pleiades.stoa.org/places/570165","Bouporthmos Mons, Mouzaki|Bouporthmos M.","","37.34678","23.26278","mountain","VERIFIED","physical|oros|Paus","","",""
"c0d62be2-4e3c-475d-8166-e4a7979a634b","34.4-38.7","Βουπόρθμῳ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::414;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::423","PLACE","http://pleiades.stoa.org/places/570165","Bouporthmos Mons, Mouzaki|Bouporthmos M.","","37.34678","23.26278","mountain","VERIFIED","physical|oros|Paus","","",""
"484badb3-b71a-4f6a-b199-ad0388acd822","34.4-38.7","ἱερὸν Δήμητρος καὶ τῆς παιδό","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::441;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::469","PLACE","","","","","","","NOT_IDENTIFIABLE","built|hieron|Demeter and daughter|Paus","Sanctuary of Demeter and the Child, in Bouporthmos","",""
"2aced357-6e92-4870-b186-a17ed4efc404","34.4-38.7","Δήμητρος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::447;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::455","PERSON","","","","","","","","Q40730","","",""
"787edddf-c994-42aa-817e-ac8c3c87ca64","34.4-38.7","παιδός","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::464;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::470","PERSON","","","","","","","","Q45967","","",""
"ac15c982-80d4-4b02-973f-cdd3a4e7b61c","34.4-38.7","Ἀθηνᾶς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::485;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[5]/p[1]::491","PLACE","","","","","","","NOT_IDENTIFIABLE","built|hieron|Athena Promachorma|Paus|Q37122","Sanctuary of Athena Promachoma in Bouporthmos","",""
"975a3245-7f75-4c0c-8daa-03c81ec51691","34.4-38.7","θεῷ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[6]/p[1]::21;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[6]/p[1]::24","PERSON","","","","","","","","Q37122|Athena","","",""
"a3e9449a-511e-4427-815e-61fb71b96ac1","34.4-38.7","Προμαχόρμα","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[6]/p[1]::25;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[6]/p[1]::35","","","","","","","","","epiklêsis|Athena|Promachorma|Q107274786","","",""
"0e33ef54-f786-461f-9b77-67b6173c894d","34.4-38.7","Βουπόρθμου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[6]/p[1]::50;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[6]/p[1]::60","PLACE","http://pleiades.stoa.org/places/570165","Bouporthmos Mons, Mouzaki|Bouporthmos M.","","37.34678","23.26278","mountain","VERIFIED","physical|akra|Paus","","",""
"92b7afa9-80cc-4a0e-8476-0bbf220f6c1a","34.4-38.7","Ἀπεροπία","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[6]/p[1]::67;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[6]/p[1]::75","PLACE","http://pleiades.stoa.org/places/570089","Aperopia Ins., Dokos|Aperopia (island)","-0030/0300","37.32767","23.30295","island","VERIFIED","physical|nēsos|Paus","","",""
"db2ed5f7-e054-432e-bd8e-fcb4379471b2","34.4-38.7","Ἀπεροπίας","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[6]/p[1]::94;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[6]/p[1]::103","PLACE","http://pleiades.stoa.org/places/570089","Aperopia Ins., Dokos|Aperopia (island)","-0030/0300","37.32767","23.30295","island","VERIFIED","physical|island","","",""
"554b29e4-e632-4f54-a002-44e74f654dc5","34.4-38.7","Ὑδρέα","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[6]/p[1]::134;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[6]/p[1]::139","PLACE","http://pleiades.stoa.org/places/570299","Hydroussa Ins./Hydrea Ins., Hydra|Hydroussa/Hydrea (island)","","37.32924","23.46048","island","VERIFIED","physical|nēsos|Paus","","",""
"b10b3e59-da2d-46be-820e-c7ef4d38ac07","34.4-38.7","αἰγιαλός","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[6]/p[1]::153;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[6]/p[1]::161","PLACE","","","","","","","NOT_IDENTIFIABLE","physical|aigialos|Paus","Crescent-shaped shore on mainland after Hydra","",""
"443c96b3-def3-4512-b6b1-e76ce5828213","34.4-38.7","μηνοειδὴς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[6]/p[1]::185;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[6]/p[1]::194","","","","","","","","","attribute|crescent","","",""
