person,personLabel,genderLabel,personDescription,entityLabel,death,fatherLabel,motherLabel,birthplaceLabel,article,father,mother,birthplace,gender,periodLabel
http://www.wikidata.org/entity/Q91109425,Alphius,άνδρας,"Greek who took part in the Trojan war, represented in Iliupersis painting at Delphi",πρόσωπο της ελληνικής μυθολογίας,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q124616539,Altar in sanctuary of Lykourgos in Sparta,,Ancient place in Lakonia attested by Pausanias (3.16.6),βωμός,,,,,,,,,,
http://www.wikidata.org/entity/Q124644553,"Altar of Androgeos, son of Minos, Phaleron",,ancient cult place in Attica attested by Pausanias (1.1.4),βωμός,,,,,,,,,,
http://www.wikidata.org/entity/Q124616536,Altar of Apollo Akritas at Sparta,,Ancient place in Lakonia attested by Pausanias (3.12.8),βωμός,,,,,,,,,,
http://www.wikidata.org/entity/Q124616535,Altar of Augustus in agora of Sparta,,Ancient place in Lakonia attested by Pausanias (3.11.5),βωμός,,,,,,,,,,
http://www.wikidata.org/entity/Q124644570,Altar of Dionysus Anthius at Phlya,,ancient cult place in Attica attested by Pausanias (1.31.4),βωμός,,,,,,,,,,
http://www.wikidata.org/entity/Q107041094,Altar of Eros and Anteros at Elis,,monument seen by Pausanias in Elis old gymnasium,βωμός,,,,,,,,,,
http://www.wikidata.org/entity/Q124644571,Altar of Ge called Great Goddess at Phlya,,ancient cult place in Attica attested by Pausanias (1.31.4),βωμός,,,,,,,,,,
http://www.wikidata.org/entity/Q107040815,Altar of Idaean Heracles Parastates,,monument seen by Pausanias in Elis old gymnasium,βωμός,,,,,,,,,,
http://www.wikidata.org/entity/Q124616538,Altar of Orthia at Sparta,,Ancient place in Lakonia attested by Pausanias (3.16.10),βωμός,,,,,,,,,,
http://www.wikidata.org/entity/Q124644603,"Altar of Triptolemos, Rarion plain of Eleusis",,ancient cult place in Attica attested by Pausanias (1.38.6),βωμός,,,,,,,,,,
