Wikidata,PersonInWikidata,PersonInPausanias,Description,Entity,Wikipedia,FatherLabel,FatherURL,MotherLabel,MotherURL
http://www.wikidata.org/entity/Q338298,"Acca Larentia",,"foster mother of Romulus and Remus","human whose existence is disputed",https://en.wikipedia.org/wiki/Acca_Larentia,,,,
http://www.wikidata.org/entity/Q338298,"Acca Larentia",,"foster mother of Romulus and Remus","Roman deity",https://en.wikipedia.org/wiki/Acca_Larentia,,,,
http://www.wikidata.org/entity/Q24951345,"Accius Julianus",,"father-in-law of Lucius Neratius Priscus",human,,,,,
http://www.wikidata.org/entity/Q5656172,"Accius Labeo",,"fictional Roman poet formerly considered to be historical","fictional human formerly considered to be historical",,,,,
http://www.wikidata.org/entity/Q24936100,"Accius Sura",,"político y militar de la Antigua Roma",human,,,,,
http://www.wikidata.org/entity/Q3604219,Acco,,"ancient Greek daimon for frightening children","mythological Greek character",,,,,
http://www.wikidata.org/entity/Q12873234,Aceles,,"son of Heracles and eponym of Akeles in Lydia","mythological Greek character",,Heracles,http://www.wikidata.org/entity/Q122248,Malis,http://www.wikidata.org/entity/Q111019958
http://www.wikidata.org/entity/Q16330081,"Aceratus Grammaticus",,"ancient Greek epigrammatist",human,,,,,
http://www.wikidata.org/entity/Q367565,Acerbas,,"priest from Roman mythology","mythological Greek character",https://en.wikipedia.org/wiki/Acerbas,,,,
http://www.wikidata.org/entity/Q3622572,"Acerronia Polla",,"friend of Agrippina the Younger",human,https://en.wikipedia.org/wiki/Acerronia_Polla,"Gnaeus Acerronius Proculus",http://www.wikidata.org/entity/Q514996,http://www.wikidata.org/.well-known/genid/d8fb7dfc54d73d88cd0ab0ae46ecd942,http://www.wikidata.org/.well-known/genid/d8fb7dfc54d73d88cd0ab0ae46ecd942
http://www.wikidata.org/entity/Q12873238,Acesamenus,,"son of Poseidon in Greek mythology","mythological Greek character",,Poseidon,http://www.wikidata.org/entity/Q41127,,
http://www.wikidata.org/entity/Q1131105,Acesander,,"Cyrenean historian",human,https://en.wikipedia.org/wiki/Acesander,,,,
http://www.wikidata.org/entity/Q3558505,Acesas,,"Cyprian weaver famed for his skill in weaving cloth with variegated patterns",human,https://en.wikipedia.org/wiki/Acesas,,,,
http://www.wikidata.org/entity/Q3604255,Acesias,,"ancient Greek physician",human,https://en.wikipedia.org/wiki/Acesias,,,,
http://www.wikidata.org/entity/Q3604254,Acesidas,Ἀκεσίδα,"Idaean Dactyl with altar at Olympia",Dactyls,,,,,
http://www.wikidata.org/entity/Q3604254,Acesidas,Ἀκεσίδα,"Idaean Dactyl with altar at Olympia","mythical entity",,,,,
http://www.wikidata.org/entity/Q115379458,Acesis,Ἄκεσιν,"ancient Greek healing divinity venerated at Epidaurus","Greek deity",,,,,
http://www.wikidata.org/entity/Q605797,Aceso,,"Greek goddess of healing","mythological Greek character",https://en.wikipedia.org/wiki/Aceso,Asclepius,http://www.wikidata.org/entity/Q83223,Epione,http://www.wikidata.org/entity/Q2089459
http://www.wikidata.org/entity/Q4673231,Acessamenus,,"Ancient Greek mythological king","king in Greek mythology",https://en.wikipedia.org/wiki/Acessamenus,,,,
http://www.wikidata.org/entity/Q404275,Acestes,,"mythical character","king in Greek mythology",https://en.wikipedia.org/wiki/Acestes,Crinisus,http://www.wikidata.org/entity/Q631865,Aegesta,http://www.wikidata.org/entity/Q20100469
http://www.wikidata.org/entity/Q4673235,Acestodorus,,"ancient Greek historian",human,https://en.wikipedia.org/wiki/Acestodorus,,,,
http://www.wikidata.org/entity/Q3604258,Acestor,,"Greek tragedy writer",human,,,,,
http://www.wikidata.org/entity/Q417502,Acestor,Ἀκέστωρ,"Greek sculptor",human,,,,,
http://www.wikidata.org/entity/Q9143395,Acestor,,"mythical son of Ephippus","mythological Greek character",,,,,
http://www.wikidata.org/entity/Q15469145,Acestorides,,"Corinthian commander, active in Syracuse",human,,,,,
http://www.wikidata.org/entity/Q15471626,Acestorides,,"ancient Greek mythographer",human,,,,,
http://www.wikidata.org/entity/Q28858429,Achaecus,,"philosophe antique",human,,,,,
http://www.wikidata.org/entity/Q106802838,Achaeia,Ἀχαιίαν,"Hyperborean maiden in Greek mythology","mythological Greek character",,,,,
http://www.wikidata.org/entity/Q312032,Achaemenes,,"possibly mythical apical ancestor of the Achaemenid dynasty, living in the 7th century BC and possibly a ruler of Parsumash, a vassal state of the Median Empire",human,https://en.wikipedia.org/wiki/Achaemenes,,,,
http://www.wikidata.org/entity/Q312032,Achaemenes,,"possibly mythical apical ancestor of the Achaemenid dynasty, living in the 7th century BC and possibly a ruler of Parsumash, a vassal state of the Median Empire","human whose existence is disputed",https://en.wikipedia.org/wiki/Achaemenes,,,,
http://www.wikidata.org/entity/Q13527812,"Achaemenid dynasty",,"Achemenid dynasty of Persia ca. 550-330 BCE",dynasty,https://en.wikipedia.org/wiki/Achaemenid_dynasty,,,,
http://www.wikidata.org/entity/Q930198,Achaemenides,,"son of Adamastus in Greek mythology","mythological Greek character",https://en.wikipedia.org/wiki/Achaemenides,Adamastus,http://www.wikidata.org/entity/Q12076717,,
http://www.wikidata.org/entity/Q29654939,Achaeus,,"son of Poseidon in Greek mythology","mythological Greek character",https://en.wikipedia.org/wiki/Achaeus_(son_of_Poseidon),Poseidon,http://www.wikidata.org/entity/Q41127,Larissa,http://www.wikidata.org/entity/Q1275070
http://www.wikidata.org/entity/Q535413,Achaeus,,"Greek general",human,https://en.wikipedia.org/wiki/Achaeus_(general),Andromachus,http://www.wikidata.org/entity/Q512839,,
