person,personLabel,genderLabel,personDescription,entityLabel,citizen,death,fatherLabel,motherLabel,birthplaceLabel,article,father,mother,birthplace,gender,periodLabel
http://www.wikidata.org/entity/Q2822188,Acacius,male,patriarch in the 5th century,human,,,,,,https://en.wikipedia.org/wiki/Acacius_of_Seleucia-Ctesiphon,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q337191,Acacius of Beroea,male,Syrian bishop,human,http://www.wikidata.org/entity/Q1747689,0430-01-01T00:00:00Z,,,Roman Syria,https://en.wikipedia.org/wiki/Acacius_of_Beroea,,,http://www.wikidata.org/entity/Q207118,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q337191,Acacius of Beroea,male,Syrian bishop,human,http://www.wikidata.org/entity/Q1747689,0436-01-01T00:00:00Z,,,Roman Syria,https://en.wikipedia.org/wiki/Acacius_of_Beroea,,,http://www.wikidata.org/entity/Q207118,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q337196,Acacius of Caesarea,male,Palestinian bishop,human,,0365-01-01T00:00:00Z,,,,https://en.wikipedia.org/wiki/Acacius_of_Caesarea,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q337196,Acacius of Caesarea,male,Palestinian bishop,human,,0366-01-01T00:00:00Z,,,,https://en.wikipedia.org/wiki/Acacius_of_Caesarea,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q415483,Acacius of Constantinople,male,religious leader,human,http://www.wikidata.org/entity/Q12544,0489-11-27T00:00:00Z,,,,https://en.wikipedia.org/wiki/Acacius_of_Constantinople,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q7129224,Acacius of Melitene,male,bishop of Melitene ca. 430-438,human,,0435-01-01T00:00:00Z,,,,https://en.wikipedia.org/wiki/Acathius_of_Melitene,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q415491,Acacus,male,mythical son of Lycaon,king in Greek mythology,,,Lycaon,,,https://en.wikipedia.org/wiki/Acacus_(mythology),http://www.wikidata.org/entity/Q501667,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q3603901,Acalanthis,female,mythological character, one of the Pierides,mythological Greek character,,,Pierus,Euippe,,,http://www.wikidata.org/entity/Q21567935,http://www.wikidata.org/entity/Q1373650,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q4671657,Acallaris,female,in Greek mythology, the daughter of Eumedes,mythological Greek character,,,,,,https://en.wikipedia.org/wiki/Acallaris,,,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q2822481,Acamantis,,ancient Athenian phyle,Phyle,,,,,,https://en.wikipedia.org/wiki/Acamantis,,,,,,
http://www.wikidata.org/entity/Q21547761,Acamas,male,son of Asius in the Iliad,mythological Greek character,,,,,,,,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q1782641,Acamas,male,son of Antenor,mythological Greek character,,,Antenor,,,https://en.wikipedia.org/wiki/Acamas_(son_of_Antenor),http://www.wikidata.org/entity/Q571969,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q415628,Acamas,male,son of Eussorus,mythological Greek character,,,Eusorus,,,,http://www.wikidata.org/entity/Q29670538,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q348668,Acamas,male,son of Theseus,king in Greek mythology,,,Theseus,Phaedra,,https://en.wikipedia.org/wiki/Acamas_(son_of_Theseus),http://www.wikidata.org/entity/Q1320718,http://www.wikidata.org/entity/Q212818,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q2822505,Acanthis,female,daughter of Hippodamia and Autonous and sister to Anthus, Erodius, Schoenous and Acanthus,mythological Greek character,,,Autonous,,,https://en.wikipedia.org/wiki/Acanthis_(mythology),http://www.wikidata.org/entity/Q4056376,,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q9143205,Acanthus,male,son of Autonous in Greek mythology,mythological Greek character,,,Autonous,Hippodamia,,https://en.wikipedia.org/wiki/Acanthus_(son_of_Autonous),http://www.wikidata.org/entity/Q4056376,http://www.wikidata.org/entity/Q29654315,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q2822600,Acanthus of Sparta,male,8th-century BC Greek athlete,human,,http://www.wikidata.org/.well-known/genid/3424bde55cf1e2f45250c31c157a3ce2,,,Sparta,https://en.wikipedia.org/wiki/Acanthus_of_Sparta,,,http://www.wikidata.org/entity/Q5690,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q221925,Acarnan,male,son of Alcmaeon in Greek mythology,mythological Greek character,,,Alcmaeon,Callirhoe,,https://en.wikipedia.org/wiki/Acarnan_(son_of_Alcmaeon),http://www.wikidata.org/entity/Q591089,http://www.wikidata.org/entity/Q1722503,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q9143220,Acaste,female,nurse of the children of Adrastus,mythological Greek character,,,,,,https://en.wikipedia.org/wiki/Acaste_(mythological_nurse),,,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q4668463,Acaste,female,Oceanid of Greek mythology,Okeanid,,,Oceanus,Tethys,,https://en.wikipedia.org/wiki/Acaste_(Oceanid),http://www.wikidata.org/entity/Q161419,http://www.wikidata.org/entity/Q184216,,http://www.wikidata.org/entity/Q6581072,,
http://www.wikidata.org/entity/Q416323,Acastus,male,legendary Athenian ruler,mythological Greek character,,,Medon,,,,http://www.wikidata.org/entity/Q1463103,,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q416384,Acastus,male,mythical character, son of Pelias,mythological Greek character,,,Pelias,Anaxibia,,https://en.wikipedia.org/wiki/Acastus,http://www.wikidata.org/entity/Q182439,http://www.wikidata.org/entity/Q488624,,http://www.wikidata.org/entity/Q6581097,,
http://www.wikidata.org/entity/Q9143443,Acca,female,comrade of Camilla in Greek mythology,mythological Greek character,,,,,,,,,,http://www.wikidata.org/entity/Q6581072,,
