Identifier,Sort_order,"Location","'Date'","Geometry",Type
1.10.2,54,"Odeion of Agrippa (Athens Agora)",23-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.10.3,55,"Odeion of Agrippa (Athens Agora)",24-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
1.10.3,55,"Odeion of Agrippa (Athens Agora)",24-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.10.4,56,"Odeion of Agrippa (Athens Agora)",25-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
1.10.4,56,"Odeion of Agrippa (Athens Agora)",25-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.10.5,57,"Odeion of Agrippa (Athens Agora)",26-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
1.10.5,57,"Odeion of Agrippa (Athens Agora)",26-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.11.1,58,"Odeion of Agrippa (Athens Agora)",27-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
1.11.1,58,"Odeion of Agrippa (Athens Agora)",27-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.11.2,59,"Odeion of Agrippa (Athens Agora)",28-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
1.11.2,59,"Odeion of Agrippa (Athens Agora)",28-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.11.3,60,"Odeion of Agrippa (Athens Agora)",29-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
1.11.3,60,"Odeion of Agrippa (Athens Agora)",29-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.11.4,61,"Odeion of Agrippa (Athens Agora)",30-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
1.11.4,61,"Odeion of Agrippa (Athens Agora)",30-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.11.5,62,"Odeion of Agrippa (Athens Agora)",31-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
1.11.5,62,"Odeion of Agrippa (Athens Agora)",31-08-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.11.6,63,"Odeion of Agrippa (Athens Agora)",01-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
1.11.6,63,"Odeion of Agrippa (Athens Agora)",01-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.11.7,64,"Odeion of Agrippa (Athens Agora)",02-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
1.11.7,64,"Odeion of Agrippa (Athens Agora)",02-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.12.1,65,"Odeion of Agrippa (Athens Agora)",03-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
1.12.1,65,"Odeion of Agrippa (Athens Agora)",03-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.12.2,66,"Odeion of Agrippa (Athens Agora)",04-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
1.12.2,66,"Odeion of Agrippa (Athens Agora)",04-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.12.3,67,"Odeion of Agrippa (Athens Agora)",05-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
1.12.3,67,"Odeion of Agrippa (Athens Agora)",05-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.12.4,68,"Odeion of Agrippa (Athens Agora)",06-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
1.12.4,68,"Odeion of Agrippa (Athens Agora)",06-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}","mythic/historic site"
1.12.5,69,"Odeion of Agrippa (Athens Agora)",07-09-165,"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}",odeion
