Identifier,Sort_order,Location,'Date',Geometry,Type
"2.5.6",352,"Corinthia - Sikyonia border","17-06-166","{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.753523301404158, 37.94270323795715], [22.817206413472263, 37.94270323795715], [22.817206413472263, 37.95544470099276], [22.753523301404158, 37.95544470099276], [22.753523301404158, 37.94270323795715]]]}]}","mythic/historic site"
"2.5.7",353,"Corinthia - Sikyonia border","18-06-166","{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.753523301404158, 37.94270323795715], [22.817206413472263, 37.94270323795715], [22.817206413472263, 37.95544470099276], [22.753523301404158, 37.95544470099276], [22.753523301404158, 37.94270323795715]]]}]}","mythic/historic site"
"2.5.8",354,"Corinthia - Sikyonia border","19-06-166","{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.753523301404158, 37.94270323795715], [22.817206413472263, 37.94270323795715], [22.817206413472263, 37.95544470099276], [22.753523301404158, 37.95544470099276], [22.753523301404158, 37.94270323795715]]]}]}","mythic/historic site"
"2.6.1",355,"Corinthia - Sikyonia border","20-06-166","{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.753523301404158, 37.94270323795715], [22.817206413472263, 37.94270323795715], [22.817206413472263, 37.95544470099276], [22.753523301404158, 37.95544470099276], [22.753523301404158, 37.94270323795715]]]}]}","mythic/historic site"
"2.6.2",356,"Corinthia - Sikyonia border","21-06-166","{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.753523301404158, 37.94270323795715], [22.817206413472263, 37.94270323795715], [22.817206413472263, 37.95544470099276], [22.753523301404158, 37.95544470099276], [22.753523301404158, 37.94270323795715]]]}]}","mythic/historic site"
"2.6.3",357,"Corinthia - Sikyonia border","22-06-166","{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.753523301404158, 37.94270323795715], [22.817206413472263, 37.94270323795715], [22.817206413472263, 37.95544470099276], [22.753523301404158, 37.95544470099276], [22.753523301404158, 37.94270323795715]]]}]}","mythic/historic site"
"2.6.4",358,"Corinthia - Sikyonia border","23-06-166","{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.753523301404158, 37.94270323795715], [22.817206413472263, 37.94270323795715], [22.817206413472263, 37.95544470099276], [22.753523301404158, 37.95544470099276], [22.753523301404158, 37.94270323795715]]]}]}","mythic/historic site"
"2.6.5",359,"Corinthia - Sikyonia border","24-06-166","{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.753523301404158, 37.94270323795715], [22.817206413472263, 37.94270323795715], [22.817206413472263, 37.95544470099276], [22.753523301404158, 37.95544470099276], [22.753523301404158, 37.94270323795715]]]}]}","mythic/historic site"
"2.6.6",360,"Corinthia - Sikyonia border","25-06-166","{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.753523301404158, 37.94270323795715], [22.817206413472263, 37.94270323795715], [22.817206413472263, 37.95544470099276], [22.753523301404158, 37.95544470099276], [22.753523301404158, 37.94270323795715]]]}]}","mythic/historic site"
"2.6.7",361,"Corinthia - Sikyonia border","26-06-166","{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.753523301404158, 37.94270323795715], [22.817206413472263, 37.94270323795715], [22.817206413472263, 37.95544470099276], [22.753523301404158, 37.95544470099276], [22.753523301404158, 37.94270323795715]]]}]}","mythic/historic site"
"2.7.1",362,"Corinthia - Sikyonia border","27-06-166","{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.753523301404158, 37.94270323795715], [22.817206413472263, 37.94270323795715], [22.817206413472263, 37.95544470099276], [22.753523301404158, 37.95544470099276], [22.753523301404158, 37.94270323795715]]]}]}","mythic/historic site"
"2.8.1",371,"Heroon of Aratos at Sikyon","06-07-166","{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}","mythic/historic site"
"2.8.2",372,"Heroon of Aratos at Sikyon","07-07-166","{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}","mythic/historic site"
"2.8.3",373,"Heroon of Aratos at Sikyon","08-07-166","{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}","mythic/historic site"
"2.8.4",374,"Heroon of Aratos at Sikyon","09-07-166","{""type"": ""Point"", ""coordinates"": [22.7145, 37.9834]}","mythic/historic site"
