PlaceID,Lat,Lon,Name,Region,Part of,Location,Type,Passages,Wikidata,Manto,ToposText,URL,Pleiades,Notes,Arachne
"2407","37.8917","21.3746","House of the Sixteen in agora of Elis","Eleia Bk5 Bk6","Agora of Elis","Agora of Elis","[""building""]","[""6.24.10""]","","","","","","",""
"2408","25.9966","32.816","Adyton of Isis at Koptos in Egypt","Libya (Africa)","Coptos","Coptos","[""adyton""]","[""10.32.18""]","","","","","","",""
"2409","37.730833","22.756111","Tomb of Cassandra at Mycenae, contested by Amyclaeans","Argolid Bk2","Mycenae","Mycenae","[""tomb mnema""]","[""2.16.6""]","https://wikidata.org/wiki/Q136487414","https://resource.manto.unh.edu/10159516","","","","",""
"2410","37.4124","22.1273","Sanctuary of Asklepios the Child in Megalopolis, below hill of Artemis Agrotera et al","Arcadia Bk8","Megalopolis (Arkadia)","Megalopolis (Arkadia)","[""hieron""]","[""8.32.5""]","https://wikidata.org/wiki/Q134037008","https://resource.manto.unh.edu/10769651","","","","",""
"2411","37.9834","22.7145","Pyraia grove 10 stades left of Sicyon-Phlious road","Sikyonia Bk2","Sicyon (Sikyonia)","Sicyon (Sikyonia)","[""grove""]","[""2.11.3""]","","","","","https://pleiades.stoa.org/places/573491","",""
"2412","37.6305","22.7214","Temple of Hera Antheia at Argos agora","Argolid Bk2","Agora of Argos","Agora of Argos","[""temple""]","[""2.22.1""]","","","","","","",""
"2413","37.671","21.657","Pholoe Mt. (Eleia)","Eleia Bk5 Bk6","Eleia Bk5 Bk6","","[""mountain oros""]","[""6.21.5"",""8.24.4"",""8.27.17""]","https://wikidata.org/wiki/Q2354090","","https://topostext.org/place/378218LPho","","https://pleiades.stoa.org/places/570607","",""
"2414","38.1286","22.3777","Sanctuary of Zeus at Aigeira","Achaia Bk7","Aigeira (Achaia)","Aigeira (Achaia)","[""hieron""]","[""7.26.4""]","https://wikidata.org/wiki/Q134037142","","","","","",""
"2415","37.978333","23.718611","first stoa between the gates and Kerameikos, Athens","Athenai Bk1","Kerameikos","Kerameikos","[""stoa""]","[""1.2.5""]","","","","","","",""
"2416","40.25","27.750000000000004","Mysia (Bithynia)","Asia Minor (Asia)","Asia Minor (Asia)","","[""chora/region""]","[""7.8.9""]","https://wikidata.org/wiki/Q622319","","","","https://pleiades.stoa.org/places/511328","",""
"2417","37.0821","22.4237","city walls of Sparta","Lakonia Bk3","Sparta","Sparta","[""city walls""]","[""3.12.8"",""3.15.3"",""8.51.3""]","","","","","","",""
"2418","40.033","22.571","Sys river (Pieria)","Macedonia (Europe)","Pieria","","[""river""]","[""9.30.11""]","","","https://topostext.org/place/403228WSys","","https://pleiades.stoa.org/places/491735","",""
"2419","38.2358","23.4032","Erythrai (Boeotia)","Boiotia Bk9","Boiotia Bk9","","[""polisma""]","[""6.21.11"",""9.2.1""]","https://wikidata.org/wiki/Q56399414","","https://topostext.org/place/382234PEry","","https://pleiades.stoa.org/places/540771","",""
"2420","38.49551","22.79418","Ravine of Panopeos","Phokis Bk10","Panopeos/Phanotis","Panopeos/Phanotis","[""ravine""]","[""10.4.1""]","","","","","","",""
"2421","38.0263","23.8068","Hut of the Lykomidae, probably at Phlyus, Attica","Attica Bk1","Athenai Bk1","Phlya","[""building""]","[""4.1.7""]","","","","","","",""
"2422","38.0347","23.211","Rock of Athena Aithyia","Megarid Bk1","Megarid Bk1","Megarid Bk1","[""rock""]","[""1.5.3""]","https://wikidata.org/wiki/Q124644555","","","","","unlocated, on coast of Megarid",""
"2423","38.1997222","26.588055600000004","Korykos (mountain)","Asia Minor (Asia)","Erythrai","","[""mountain oros""]","[""10.12.7""]","https://wikidata.org/wiki/Q31515083","","","","https://pleiades.stoa.org/places/550666","",""
"2424","37.288997","22.171428","Phalaisiai","Arcadia Bk8","Arcadia Bk8","","[""settlement""]","[""8.35.3""]","https://wikidata.org/wiki/Q60791911","","","","https://pleiades.stoa.org/places/570587","",""
"2425","37.906045","22.878721","Precinct of Sarapis on ascent of Acrocorinth","Corinthia Bk2","Acrocorinth","Acrocorinth","[""temenos""]","[""2.4.6""]","","","","","","",""
