Serial,NAME,Work_CITED,WorkWD,Author,WORK_TYPE,TEXT_EN,Passages,LOGOS_USE,Greek_URL,NARRATIVE_LOC,GEOMETRY
299,"Homer, Odyssey 11.601-11.604 on Hebe as wife of Heracles",Homer's Odyssey,Q35160,Homer,epic poem,"“After him I caught sight of mighty Heracles,<br>a phantom. He himself delights among the gods immortal,<br>in their festivities, and has for his wife fair-ankled Hebe,<br>daughter of great Zeus and golden-sandaled Hera.",2.13.3,R-paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:11.600-11.605,Sanctuary of Hebe on Phlious acropolis hill,"{""type"": ""Point"", ""coordinates"": [22.649131, 37.846299]}"
300,"Homer, Odyssey 11.630-635 on friendship of Theseus and Peirithous",Homer's Odyssey,Q35160,Homer,epic poem,"And I would still have seen earlier men, whom I really wanted to,<br>Theseus and Peirithous, glorious children of gods,<br>but before that countless tribes of dead ones gathered<br>with an awful sound. Green terror seized me,<br>lest illustrious Persephone send to me out of Hades",10.29.10,R-quotation,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:11.625-11.635,Lesche of the Knidians,"{""type"": ""Point"", ""coordinates"": [22.5011, 38.48304]}"
301,"Homer, Odyssey 11.625-635 on Odysseus wanting to see Theseus in Hades",Homer's Odyssey,Q35160,Homer,epic poem,"I fetched him and brought him up out of Hades,<br>and Hermes and bright-eyed Athena guided me.'<br>“So saying, he went back into the house of Hades,<br>but I stayed in place where I was, in hope that someone<br>of the hero men, those who'd died before, would still come.<br>And I would still have seen earlier men, whom I really wanted to,<br>Thesus and Perithous, glorious children of gods,<br>but before that countless tribes of dead ones gathered<br>with an awful sound. Green terror seized me,<br>lest illustrious Persephone send to me out of Hades",3.24.11,R-paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:11.625-11.635,Tomb of Las at Arainon,"{""type"": ""Point"", ""coordinates"": [22.521276, 36.69704]}"
302,"Homer, Odyssey 11.90-151 on Teiresias",Homer's Odyssey,Q35160,Homer,epic poem,"“Then there came up the spirit of the Theban Teiresias, bearing his golden staff in his hand, and he knew me and spoke to me: ‘Son of Laertes, sprung from Zeus, Odysseus of many devices, what now, hapless man? Why hast thou left the light of the sun and come hither to behold the dead and a region where is no joy?<br> Nay, give place from the pit and draw back thy sharp sword, that I may drink of the blood and tell thee sooth. “So he spoke, and I gave place and thrust my silver-studded sword into its sheath, and when he had drunk the dark blood, then the blameless seer spoke to me and said:“‘Thou askest of thy honey-sweet return, glorious Odysseus, but this shall a god make grievous unto thee; for I think not that thou shalt elude the Earth-shaker, seeing that he has laid up wrath in his heart against thee, angered that thou didst blind his dear son. Yet even so ye may reach home, though in evil plight, if thou wilt curb thine own spirit and that of thy comrades, as soon as thou shalt bring thy well-built ship to the island Thrinacia, escaping from the violet sea, and ye find grazing there the kine and goodly flocks of Helios, who over sees and overhears all things. If thou leavest these unharmed and heedest thy homeward way, verily ye may yet reach Ithaca, though in evil plight. But if thou harmest them, then I foresee ruin for thy ship and thy comrades, and even if thou shalt thyself escape, late shalt thou come home and in evil case, after losing all thy comrades, in a ship that is another's, and thou shalt find woes in thy house—proud men that devour thy livelihood, wooing thy godlike wife, and offering wooers' gifts. Yet verily on their violent deeds shalt thou take vengeance when thou comest. But when thou hast slain the wooers in thy halls, whether by guile or openly with the sharp sword, then do thou go forth, taking a shapely oar, until thou comest to men that know naught of the sea and eat not of food mingled with salt, aye, and they know naught of ships with purple cheeks, or of shapely oars that are as wings unto ships. And I will tell thee a sign right manifest, which will not escape thee. When another wayfarer, on meeting thee, shall say that thou hast a winnowing-fan on thy stout shoulder, then do thou fix in the earth thy shapely oar and make goodly offerings to lord Poseidon—a ram, and a bull, and a boar that mates with sows—and depart for thy home and offer sacred hecatombs to the immortal gods who hold broad heaven, to each one in due order. And death shall come to thee thyself far from the sea,a death so gentle, that shall lay thee low when thou art overcome with sleek old age, and thy people shall dwell in prosperity around thee. In this have I told thee sooth.’ “So he spoke, and I made answer and said: ‘Teiresias, of all this, I ween, the gods themselves have spun the thread. But come, tell me this, and declare it truly. I see here the spirit of my dead mother; she sits in silence near the blood, and deigns not to look upon the face of her own son or to speak to him. Tell me, prince, how she may recognize that I am he?’ “So I spoke, and he straightway made answer, and said: ‘Easy is the word that I shall say and put in thy mind. Whomsoever of those that are dead and gone thou shalt suffer to draw near the blood, he will tell thee sooth; but whomsoever thou refusest, he surely will go back again.’“So saying the spirit of the prince, Teiresias, went back into the house of Hades, when he had declared his prophecies;",9.33.2,R-reference,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:11.90-11.151,Tilphousa spring past Haliartos,"{""type"": ""Point"", ""coordinates"": [22.9908, 38.3663]}"
303,"Homer, Odyssey 13.104 on Naiad Nymphs",Homer's Odyssey,Q35160,Homer,epic poem,"At the head of this harbor there is a large olive tree, and at no distance a fine overarching cavern sacred to the nymphs who are called Naiads. There are mixing-bowls within it and wine-jars of stone, and the bees hive there.",8.4.2,R-reference,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:13.103-13.106,Argolid - Arkadia border near Mt. Artemision,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.475774354441114, 37.654310963973046], [22.507440284004105, 37.571411550419754], [22.521537982781183, 37.57134643717862], [22.488651704535528, 37.65540068883523], [22.475774354441114, 37.654310963973046]]]}]}"
304,"Homer, Odyssey 15.459 on necklaces with amber",Homer's Odyssey,Q35160,Homer,epic poem,"A man, very shrewd one, came to my father's house,<br>holding a golden necklace he'd strung at intervals with amber.",9.41.4,R-quotation,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:15.455-15.460,Chaironea (Boeotia),"{""type"": ""Point"", ""coordinates"": [22.8416, 38.4944]}"
305,"Homer, Odyssey 18.295-18.296 on Eurymachus' gold/amber necklace",Homer's Odyssey,Q35160,Homer,epic poem,"To Eurymachus, another brought a richly-worked chain,<br>a golden one, strung with amber, like the sun.",9.41.5,R-quotation,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:18.290-18.297,Chaironea (Boeotia),"{""type"": ""Point"", ""coordinates"": [22.8416, 38.4944]}"
306,"Homer, Odyssey 18.328 on hanging out at the club (lesche)",Homer's Odyssey,Q35160,Homer,epic poem,"And you will not go to the smith's house to sleep, Nor yet to the Lesche, but you make long speeches here.",10.25.1,R-quotation,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:18.328-18.329,Lesche of the Knidians,"{""type"": ""Point"", ""coordinates"": [22.5011, 38.48304]}"
307,"Homer, Odyssey 19.178 on laws of Minos perhaps applicable to Lycurgus",Homer's Odyssey,Q35160,Homer,epic poem,"one language is mixed with another. There are Achaeans in it,<br>great-hearted Eteocretans in it, Cydonians in it,<br>streaming-haired Dorians, and divine Pelasgians.<br>Cnossos is among them, a great city, where Minos,<br>great Zeus's intimate, ruled as king nine years,<br>the father of my father, great-hearted Deucalion.<br>Deucalion fathered me and lord Idomeneus,<br>but Idomeneus went in the curved ships to Ilium<br>with the Atreidae. I had the famed name Aethon,<br>and was younger in age. He was older and better.",3.2.4,R-quotation,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:19.175-19.185,Argolid - Lakonia border at the Hermai,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.527643966812064, 37.31460354773594], [22.53453084312804, 37.3070246533447], [22.538351342393554, 37.307297362478295], [22.530631002613234, 37.3160985404418], [22.527643966812064, 37.31460354773594]]]}]}"
308,"Homer, Odyssey 19.55 etc. on use of ivory as royal decor but showing no awareness of elephants",Homer's Odyssey,Q35160,Homer,epic poem,"<br>Prudent Penelope came out of her chamber,<br>like Artemis or golden Aphrodite.<br>They set a chair for her beside the fire, where she used to sit,<br>inlaid with ivory and silver, that the woodworker<br>Icmalius made, and under it he'd set a footstool for feet,<br>growing out of it, on which a big fleece had been thrown.",1.12.4,R-reference,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:19.53-19.60,Odeion of Agrippa (Athens Agora),"{""type"": ""Point"", ""coordinates"": [23.723135000000003, 37.975124]}"
309,"Homer, Odyssey 2.120 on Mycene",Homer's Odyssey,Q35160,Homer,epic poem,"and cunning wiles, such as none we've ever heard of, not even<br>of the ancients, who were fair-haired Achaean women of old,<br>  Tyro, Alcmene, and fair-crowned Mycene,<br>none of whom knew thoughts like those of Penelope,",2.16.4,R-quotation,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:2.118-2.121,Mycenae,"{""type"": ""Point"", ""coordinates"": [22.756111, 37.730833]}"
310,"Homer, Odyssey 21.18 on Messenian ethnos",Homer's Odyssey,Q35160,Homer,epic poem,"The two had met each other in Messene,<br>in the house of skilled Ortilochus. Yes indeed, Odysseus<br>had gone there after a debt that the whole kingdom owed him,<br>for Messenian men had taken sheep from Ithaca, three hundred<br>of them, and their shepherds, in ships with many oarlocks.",4.1.3,R-quotation,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:21.18-21.20/,Choirios Nape,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.143588429711173, 36.94888471665877], [22.18624381440418, 36.95017414417967], [22.223199270082375, 36.95378608209073], [22.248155909035262, 36.960469507191235], [22.25775393867147, 36.96224967963566], [22.262659624143453, 36.98275144390442], [22.284975814421244, 36.99240306697337], [22.277683819340496, 36.9974822900312], [22.25528655397426, 36.98707795027782], [22.249117608796496, 36.96730110791651], [22.220231007097283, 36.9612590436016], [22.193853679994135, 36.956753242978635], [22.16522532799945, 36.956871930927164], [22.14004783897485, 36.95194522129127], [22.143588429711173, 36.94888471665877]]]}]}"
311,"Homer, Odyssey 24.10 on epithet Akakesios",Homer's Odyssey,Q35160,Homer,epic poem,"Hermes Akaketa [gracious?] led them down the moldy ways.<br>They went, past the streams of Ocean, and the White Rock [Leukada],<br>and past the gates of the Sun, and the kingdom of dreams,<br>they went. They came down quickly to an asphodel meadow,
where dwell the souls and shadows of them that can labor no more.",8.3.2,R-reference,,Argolid - Arkadia border near Mt. Artemision,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.475774354441114, 37.654310963973046], [22.507440284004105, 37.571411550419754], [22.521537982781183, 37.57134643717862], [22.488651704535528, 37.65540068883523], [22.475774354441114, 37.654310963973046]]]}]}"
312,"Homer, Odyssey 24.1-24.22 on Hermes",Homer's Odyssey,Q35160,Homer,epic poem,"Meanwhile Cyllenian Hermes called forth the spirits of the wooers. He held in his hands his wand, a fair wand of gold, wherewith he lulls to sleep the eyes of whom he will, while others again he wakens even out of slumber;<br> with this he roused and led the spirits, and they followed gibbering. And as in the innermost recess of a wondrous cave bats flit about gibbering, when one has fallen from off the rock from the chain in which they cling to one another, so these went with him gibbering, and<br>10 Hermes, the Helper, led them down the dank ways. Past the streams of Oceanus they went, past the rock Leucas, past the gates of the sun and the land of dreams, and quickly came to the mead of asphodel, where the spirits dwell, phantoms of men who have done with toils.",8.32.4,R-paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg002.perseus-eng3:24.1-24.22?right=perseus-grc2,Megalopolis (Arkadia),"{""type"": ""Point"", ""coordinates"": [22.1273, 37.4124]}"
313,"Homer, Odyssey 3.276-3.303 Nestor on the fate of Phrontis",Homer's Odyssey,Q35160,Homer,epic poem,"Now we sailed together on our way from Troy,<br>Atreides and I, with friendly feelings toward each other,<br>but when we reached the cape of Athens, sacred Sunium,<br>there Phoebus Apollo attacked with his gentle darts<br> and killed Menelaus' steersman<br>as he held in his hands the steering oar of the running ship,<br>Phrontis Onetorides, who surpassed the tribes of men<br>in steering a ship when storm winds blow.<br>So he stopped there, though eager for the way,<br>§ OD.3.285  to bury his comrade and perform funeral rites over him.",10.25.2,R-paraphrase,,Lesche of the Knidians,"{""type"": ""Point"", ""coordinates"": [22.5011, 38.48304]}"
314,"Homer, Odyssey 3.488-3.489 on Pherae not Messene",Homer's Odyssey,Q35160,Homer,epic poem,"Then they reached Pherai where Diokles lived, who was son to Ortilokhos and grandson to Alpheus.",4.1.4,R-quotation,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:3.488-3.489?right=perseus-eng3,Choirios Nape,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.143588429711173, 36.94888471665877], [22.18624381440418, 36.95017414417967], [22.223199270082375, 36.95378608209073], [22.248155909035262, 36.960469507191235], [22.25775393867147, 36.96224967963566], [22.262659624143453, 36.98275144390442], [22.284975814421244, 36.99240306697337], [22.277683819340496, 36.9974822900312], [22.25528655397426, 36.98707795027782], [22.249117608796496, 36.96730110791651], [22.220231007097283, 36.9612590436016], [22.193853679994135, 36.956753242978635], [22.16522532799945, 36.956871930927164], [22.14004783897485, 36.95194522129127], [22.143588429711173, 36.94888471665877]]]}]}"
315,"Homer, Odyssey 4.242 on fake deserter as spy [confusing post-Homeric Sinon and Odysseus?)",Homer's Odyssey,Q35160,Homer,epic poem,"I couldn't name and tell them all,<br>so many are the trials of steadfast Odysseus,<br>but what a thing this was the mighty man dared and did<br>in the Trojan kingdom where you Achaeans suffered sorrows!<br>He disfigured himself with grievous blows,<br>§ OD.4.245  threw a cloth around his shoulders, and disguised as a servant<br>entered the broad-streeted city of the enemy men,<br>then concealed himself as a different man, and pretended to be<br>a beggar, he who was no such thing at the Achaean ships.<br>He entered the Trojan city like that, and everyone ignored him.<br>§ OD.4.250  I alone recognized him, such as he was,<br>and I questioned him, but he eluded me with cunning.<br>But when at last I'd bathed him and anointed him with olive oil,<br>dressed clothing about him, and swore a great oath<br>not to make him known among the Trojans as Odysseus<br>before he reached his huts and swift ships,<br>right then he told me in detail the Achaeans' intent.<br>He then killed many of the Trojans with sharp bronze,<br>went back among the Argives, and brought back much information.<br>Then the rest of the Trojan women shrieked loudly, but my heart<br>rejoiced, since by now my heart had changed about going<br>back home and I regretted my mad blindness, that Aphrodite gave me,<br>when she led me there from my beloved fatherland,<br>and I deserted my daughter, my bedroom, and my husband,<br>who lacked nothing in either looks or wits.”",4.28.7,R-paraphrase,,Choirios Nape,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.143588429711173, 36.94888471665877], [22.18624381440418, 36.95017414417967], [22.223199270082375, 36.95378608209073], [22.248155909035262, 36.960469507191235], [22.25775393867147, 36.96224967963566], [22.262659624143453, 36.98275144390442], [22.284975814421244, 36.99240306697337], [22.277683819340496, 36.9974822900312], [22.25528655397426, 36.98707795027782], [22.249117608796496, 36.96730110791651], [22.220231007097283, 36.9612590436016], [22.193853679994135, 36.956753242978635], [22.16522532799945, 36.956871930927164], [22.14004783897485, 36.95194522129127], [22.143588429711173, 36.94888471665877]]]}]}"
316,"Homer, Odyssey 4.384-393 on Menelaus and Proteus",Homer's Odyssey,Q35160,Homer,epic poem,"There is an old immortal who lives under the sea hereabouts and whose name is Proteus. He is an Egyptian, and people say he is my father; he is Poseidon's head man and knows every inch of ground all over the bottom of the sea. If you can snare him and hold him tight, he will tell you about your voyage, what courses you are to take, and how you are to sail the sea so as to reach your home [nostos]. He will also tell you, if you so will, all that has been going on at your house both good and bad, while you have been away on your long and dangerous journey.’",3.18.16,R-reference,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:4.384-4.393,Throne at Amyclae,"{""type"": ""Point"", ""coordinates"": [22.4502, 37.0363]}"
317,"Homer, Odyssey 4.472-480 on ancient place names",Homer's Odyssey,Q35160,Homer,epic poem,"""Then,’ he said, ‘if you would finish your voyage and get home quickly, you must offer sacrifices to Zeus and to the rest of the gods before embarking; for it is decreed that you shall not get back to your friends, and to your own house, till you have returned to the heaven-fed stream of Egypt, and offered holy hecatombs to the immortal gods that reign in heaven. When you have done this they will let you finish your voyage.’<br>",9.40.6,R-reference,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:4.4707-4.480,Chaironea (Boeotia),"{""type"": ""Point"", ""coordinates"": [22.8416, 38.4944]}"
318,"Homer, Odyssey 4.561 on Rhadamanthys in the Elysian plain",Homer's Odyssey,Q35160,Homer,epic poem,"'The son of Laertes, who has a house in Ithaca,<br>whom I saw shedding thick tears on an island,<br>in the palace of nymph Calypso, who holds him back<br>by force. He's unable to reach his fatherland,<br>for he hasn't oared ships or comrades at his side<br>§ to convoy him on the broad back of the sea.<br>But it's not ordained for you, Zeus-nurtured Menelaus,<br>to meet your fate and die in horse-grazing Argos,<br>but to the Elysian plain and the limits of the earth<br>the immortals will send you, where blond Rhadamanthus is,<br> there where life is easiest for men,<br>no snow, and not much winter, and never rain,<br>but always gusts of clearly blowing West Wind<br>Ocean sends up to cool off men,<br>because you have Helen and are a son-in-law of Zeus to them.",8.53.5,R-paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:4.561-4.569,"Monument to Apollo Agyieus, Tegea","{""type"": ""Point"", ""coordinates"": [22.429, 37.464]}"
319,"Homer, Odyssey 5.272 on the Bear constellation",Homer's Odyssey,Q35160,Homer,epic poem,"Then he sat and steered skillfully with the steering oar,<br>and sleep didn't fall upon his eyelids<br>as he looked at the Pleiades, and late setting Bootes,<br>and the Bear, which they also call the Wagon as another name,<br>that turns in its place and watches Orion,<br>§ OD.5.275  and is the only one without a share of Ocean's baths.<br>For the goddess divine, Calypso, had bid him keep it<br>on his left hand as he sailed the sea.",8.3.7,R-quotation,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg002.perseus-eng3:5.262,Argolid - Arkadia border near Mt. Artemision,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.475774354441114, 37.654310963973046], [22.507440284004105, 37.571411550419754], [22.521537982781183, 37.57134643717862], [22.488651704535528, 37.65540068883523], [22.475774354441114, 37.654310963973046]]]}]}"
320,"Homer, Odyssey 6.103 on Artemis on Erymanthos and Taygetos [text gap]",Homer's Odyssey,Q35160,Homer,epic poem,"They threw off their head-gear and fell to playing at ball, and white-armed Nausicaa was leader in the song.[*] And even as Artemis, the archer, roves over the mountains, along the ridges of lofty Taygetus or Erymanthus, joying in the pursuit of boars and swift deer,and with her sport the wood-nymphs, the daughters of Zeus who bears the aegis, and Leto is glad at heart—high above them all Artemis holds her head and brows, and easily may she be known, though all are fair—so amid her handmaidens shone the maid unwed.",8.24.2,R-paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:6.90-6.115,Psophis,"{""type"": ""Point"", ""coordinates"": [21.892903, 37.871725]}"
321,"Homer, Odyssey 6.163 on a palm tree in Delos",Homer's Odyssey,Q35160,Homer,epic poem,"I never yet saw any one so beautiful, neither man nor woman, and am lost in admiration as I behold you. I can only compare you to a young palm tree which I saw when I was at Delos growing near the altar of Apollo - for I was there, too, with many people after me, when I was on that journey which has been the source of all my troubles. Never yet did such a young plant shoot out of the ground as that was, and I admired and wondered at it exactly as I now admire and wonder at yourself.",8.43.3,R-reference,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg002.perseus-eng3:6.162-6.170/?right=perseus-grc2,Pallantion (Arkadia),"{""type"": ""Point"", ""coordinates"": [22.334, 37.453]}"
322,"Homer, Odyssey 6.85 ff on Nausicaa doing laundry",Homer's Odyssey,Q35160,Homer,epic poem,"When they reached the water side they went to the washing-cisterns, through which there ran at all times enough pure water to wash any quantity of linen, no matter how dirty. Here they unharnessed the mules and turned them out to feed on the sweet juicy herbage that grew by the water side. They took the clothes out of the wagon, put them in the water, and vied with one another in treading them in the pits to get the dirt out. After they had washed them and got them quite clean, they laid them out by the sea side, where the waves had raised a high beach of shingle, and set about washing themselves and anointing themselves with olive oil. Then they got their dinner by the side of the stream, and waited for the sun to finish drying the clothes.",1.22.6,R-paraphrase,,Propylaia (Athens),"{""type"": ""Point"", ""coordinates"": [23.72522, 37.97176]}"
323,"Homer, Odyssey 7.205-206 on  giants (the Cyclopes)",Homer's Odyssey,Q35160,Homer,epic poem,"They come and sit at our feasts just like one of our selves, and if any solitary wayfarer happens to stumble upon some one or other of them, they affect no concealment, for we are as near of kin to the gods as the Cyclopes and the savage giants are.""",8.29.2,R-paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg002.perseus-eng3:7.206?right=perseus-grc2,Bathos,"{""type"": ""Point"", ""coordinates"": [22.0708, 37.4506]}"
324,"Homer, Odyssey 7.55-60 on giants",Homer's Odyssey,Q35160,Homer,epic poem,"They both descend originally from Poseidon, who was father to Nausithoos by Periboia, a woman of great beauty. Periboia was the youngest daughter of Eurymedon, who at one time reigned over the giants, but he ruined his ill-fated people and lost his own life to boot.",8.29.2,R-quotation,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg002.perseus-eng3:7.59?right=perseus-grc2,Bathos,"{""type"": ""Point"", ""coordinates"": [22.0708, 37.4506]}"
325,"Homer, Odyssey 8.43 on poets supported by kings",Homer's Odyssey,Q35160,Homer,epic poem,"Then, when they were got together, Alkinoos spoke: ""Hear me,"" said he, ""aldermen and town councilors of the Phaeacians, that I may speak even as I am minded. This stranger, whoever he may be, has found his way to my house from somewhere or other either East or West. He wants an escort and wishes to have the matter settled. Let us then get one ready for him, as we have done for others before him; indeed, no one who ever yet came to my house has been able to complain of me for not speeding on his way soon enough. Let us draw a ship into the sea - one that has never yet made a voyage - and man her with two and fifty of our choicest [krînô] young sailors in the dêmos. Then when you have made fast your oars each by his own seat, leave the ship and come to my house to prepare a feast. I will provide you with everything. I am giving these instructions to the young men who will form the crew, for as regards you aldermen and town councilors, you will join me in entertaining our guest in the cloisters. I can take no excuses, and we will have Demodokos to sing to us; for there is no bard like him whatever he may choose to sing about."" Alkinoos then led the way, and the others followed after, while a servant went to fetch Demodokos.",1.2.3,R-paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:8.24-8.48,road Piraeus to Athens,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""LineString"", ""coordinates"": [[23.651200847204137, 37.94756121516629], [23.652374353234453, 37.94839046164596], [23.665291521796778, 37.95232527430065], [23.680945107599793, 37.957452975216086], [23.688954934445462, 37.96061626238817], [23.698937244530754, 37.969126334790005], [23.718845998411386, 37.97848892791123]]}]}"
326,"Homer, Odyssey 3.267 on poets supported by kings",Homer's Odyssey,Q35160,Homer,epic poem,"At first she would have nothing to do with his wicked scheme,<br> for she was of a good natural disposition;<br> moreover there was a singer with her, to whom Agamemnon had given strict orders on<br>setting out for Troy, that he was to keep guard over his wife; <br>but when heaven had counseled her destruction, <br>Aigisthos led this bard off to a desert island <br>and left him there for crows and seagulls to batten upon -<br> after which she went willingly enough to the house of Aigisthos. <br>Then he offered many burnt sacrifices to the gods,<br>and decorated many temples with tapestries and gilding,<br>for he had succeeded far beyond his expectations.",1.2.3,R-paraphrase,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0012.tlg002.perseus-grc2:3.264-3.276,road Piraeus to Athens,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""LineString"", ""coordinates"": [[23.651200847204137, 37.94756121516629], [23.652374353234453, 37.94839046164596], [23.665291521796778, 37.95232527430065], [23.680945107599793, 37.957452975216086], [23.688954934445462, 37.96061626238817], [23.698937244530754, 37.969126334790005], [23.718845998411386, 37.97848892791123]]}]}"
327,Homer: Pausanias opines there was no city Messene before battle of Leuctra,Homer's Odyssey,Q35160,Homer,epic poem,,4.1.3,O-Inquiry,,Choirios Nape,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[22.143588429711173, 36.94888471665877], [22.18624381440418, 36.95017414417967], [22.223199270082375, 36.95378608209073], [22.248155909035262, 36.960469507191235], [22.25775393867147, 36.96224967963566], [22.262659624143453, 36.98275144390442], [22.284975814421244, 36.99240306697337], [22.277683819340496, 36.9974822900312], [22.25528655397426, 36.98707795027782], [22.249117608796496, 36.96730110791651], [22.220231007097283, 36.9612590436016], [22.193853679994135, 36.956753242978635], [22.16522532799945, 36.956871930927164], [22.14004783897485, 36.95194522129127], [22.143588429711173, 36.94888471665877]]]}]}"
328,Homeric Hymn to Apollo 282 and name Crisa,Homeric Hymn to Apollo,Q3798932,Homer,hymn,"Further yet you went, far-shooting Apollo, until you came to the town of the presumptuous Phlegyae who dwell on this earth in a lovely glade near the Cephisian lake, caring not for Zeus. And thence you went speeding swiftly to the mountain ridge, and came to Crisa beneath snowy Parnassus, a foothill turned towards the west: a cliff hangs over if from above, and a hollow, rugged glade runs under. There the lord Phoebus Apollo resolved to make his lovely temple, and thus he said: ""In this place I am minded to build a glorious temple to be an oracle for men, and here they will always bring perfect hecatombs, both they who dwell in rich Peloponnesus and the men of Europe and from all the wave-washed isles, coming to question me. And I will deliver to them all counsel that cannot fail, answering them in my rich temple.""",10.37.5,R-reference,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0013.tlg003.perseus-eng2:275-295,Kirra,"{""type"": ""Point"", ""coordinates"": [22.450621, 38.428937]}"
329,Homeric Hymn to Demeter 154 on Eumolpus as manly,Homeric Hymn to Demeter,Q3798927,Homer,hymn,"now I will teach you clearly, telling you the names of men who have great power and honor here and are chief among the people, guarding our city's coif of towers by their wisdom and true judgements: there is wise Triptolemus and Dioclus and Polyxeinus and blameless Eumolpus and Dolichus and our own brave father. All these have wives who manage in the house",1.38.2,R-reference,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0013.tlg002.perseus-eng2:145-160?q=%CE%95%CF%85&qk=form,Tomb of Eumolpos on Sacred Way near Eleusis,"{""type"": ""Point"", ""coordinates"": [23.601, 38.023]}"
330,Homeric Hymn to Apollo 3.230 on grove at Onchestos,Homeric Hymn to Demeter,Q3798927,Homer,hymn,"And further still you went, O far-shooting Apollo, and came to Onchestus, Poseidon's bright grove: there the new-broken colt distressed with drawing the trim chariot gets spirit again, and the skilled driver springs from his car and goes on his way. Then the horses for a while rattle the empty car, being rid of guidance; and if they break the chariot in the woody grove, men look after the horses, but tilt the chariot and leave it there; for this was the rite from the very first. And the drivers pray to the lord of the shrine; but the chariot falls to the lot of the god.",9.26.5,R-reference,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0013.tlg003.perseus-grc2:225-235,Onchestos (Boeotia),"{""type"": ""Point"", ""coordinates"": [23.1453, 38.3622]}"
331,Homeric Hymn to Demeter 420: Homer's Hymn to Demeter first to mention Tyche as daughter of Ocean,Homeric Hymn to Demeter,Q3798927,Homer,hymn,"From my father Zeus, and left, taking me under the depths of the earth,<br>And will go through every detail, as you ask me.<br>We were all playing in a lovely meadow ---<br>Leucippe, Phaeno, Electra and Ianthe,<br>Melite, Iache, Rhodeia and Callirhoe, Melobosis, Tyche, and Okyrhoe with a face like a flower,<br>Chryse, Ianeira, Akaste and Admete,<br>Rhodope, Pluto and lovely Calypso,<br>Styx, Urania and beauteous Galaxaure,<br>And war-rousing Pallas and arrow-pouring Artemis ---",4.30.4,R-quotation,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0013.tlg002.perseus-grc2:419-425,Pherai (Messenia),"{""type"": ""Point"", ""coordinates"": [22.113, 37.046]}"
