person,personLabel,genderLabel,personDescription,entityLabel,death,fatherLabel,motherLabel,birthplaceLabel,article,father,mother,birthplace,gender,periodLabel
http://www.wikidata.org/entity/Q22583413,Callon of Elis,male,boxer,human,,,,Ancient Elis,,,,http://www.wikidata.org/entity/Q6536845,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q123742611,Calydonius,,epithet of the god Dionysus at Patras,epithet,,,,,,,,,,
http://www.wikidata.org/entity/Q21051033,Cameiro,female,daughter of Pandareus,mythological Greek character,,Pandareus,,,,http://www.wikidata.org/entity/Q1428276,,,http://www.wikidata.org/entity/Q6581072,
http://www.wikidata.org/entity/Q56641011,Capetus,male,killed by Oenomaus,mythological Greek character,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q56641335,Capitolinus,,divine epithet of Jupiter in Rome,epithet,,,,,,,,,,
http://www.wikidata.org/entity/Q11912286,Carcinus of Naupactus,male,"ancient Greek poet, author of Naupaktia",human,,,,Nafpaktos,,,,http://www.wikidata.org/entity/Q782278,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q107389661,Cardys,male,"mythical Cretan, father of Clymenus",mythological Greek character,,,,,,,,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q124644614,Caria acropolis of Megara,,ancient place in Attica attested by Pausanias (1.40.6),acropolis,,,,,,,,,,
http://www.wikidata.org/entity/Q107315859,Carinus,,epithet of Apollo attached to a stone in Megara,epithet,,,,,,,,,,
http://www.wikidata.org/entity/Q1734053,Carme,female,nymph of the Greek mythology,Greek nymph,,Eubuleus,Cassiopeia,,https://en.wikipedia.org/wiki/Carme_(mythology),http://www.wikidata.org/entity/Q1352687,http://www.wikidata.org/entity/Q18481886,,http://www.wikidata.org/entity/Q6581072,
http://www.wikidata.org/entity/Q1734053,Carme,female,nymph of the Greek mythology,Greek nymph,,Phoenix,Cassiopeia,,https://en.wikipedia.org/wiki/Carme_(mythology),http://www.wikidata.org/entity/Q1145956,http://www.wikidata.org/entity/Q18481886,,http://www.wikidata.org/entity/Q6581072,
http://www.wikidata.org/entity/Q28000806,Carnasium,,ancient sacred grove in Messenia,sacred grove,,,,,https://en.wikipedia.org/wiki/Carnasium,,,,,classical antiquity
http://www.wikidata.org/entity/Q676834,Carpo,female,Greek deity,Greek deity,,Zeus,Themis,,,http://www.wikidata.org/entity/Q34201,http://www.wikidata.org/entity/Q159168,,http://www.wikidata.org/entity/Q6581072,
http://www.wikidata.org/entity/Q3356861,Caryatis,female,epithet of Artemis at Karyai,Greek deity,,,,,https://en.wikipedia.org/wiki/Caryatis,,,,http://www.wikidata.org/entity/Q6581072,
http://www.wikidata.org/entity/Q3356861,Caryatis,female,epithet of Artemis at Karyai,epithet,,,,,https://en.wikipedia.org/wiki/Caryatis,,,,http://www.wikidata.org/entity/Q6581072,
http://www.wikidata.org/entity/Q1735272,Cassotis,female,Nymph of Mt. Parnassus associated with a water source at Delphi,naiad,,,,,https://en.wikipedia.org/wiki/Cassotis,,,,http://www.wikidata.org/entity/Q6581072,
http://www.wikidata.org/entity/Q57018160,Cataebates,,epithet of Zeus,epithet,,,,,,,,,,
http://www.wikidata.org/entity/Q57026643,Catharsius,,epithet of Zeus at Olympia,epithet,,,,,,,,,,
http://www.wikidata.org/entity/Q754835,Catreus,male,king of Crete and a son of Minos and Pasiphaë,mythological Greek character,,Minos,Pasiphaë,,https://en.wikipedia.org/wiki/Catreus,http://www.wikidata.org/entity/Q23168,http://www.wikidata.org/entity/Q203236,,http://www.wikidata.org/entity/Q6581097,
http://www.wikidata.org/entity/Q57074376,Causius,,"epithet of Asclepius at Caus, Arcadia",epithet,,,,,,,,,,
http://www.wikidata.org/entity/Q124616422,Cave at Brasiai where Ino nursed Dionysos,,Ancient place in Lakonia attested by Pausanias (3.24.4),cave,,,,,,,,,,
http://www.wikidata.org/entity/Q124644605,Cave of Antiope with spring above Eleutherai,,ancient cult place in Attica attested by Pausanias (1.38.9),cave,,,,,,,,,,
http://www.wikidata.org/entity/Q20164670,Cedreatis,,epithet of Artemis,epithet,,,,,,,,,,
