Lon,Lat,Name,Region,Part_of,Type,Passages,Location,Pleiades,ToposText,Wikidata,Manto,Altname,URL,Arachne
21.518,37.901,"Pylos (Eleia)","Eleia Bk5 Bk6","Eleia Bk5 Bk6",['settlement'],"['2.18.7','4.1.3','4.36.1','5.3.1','6.22.5','6.22.6','6.25.2','6.25.3']",NULL,https://pleiades.stoa.org/places/570639,https://topostext.org/place/373216PPyl,https://wikidata.org/wiki/Q7263101,NULL,NULL,NULL,NULL
23.848889,40.785833,Edones,"Thrace (Europe)","Thrace (Europe)",['chora'],"['1.29.4','10.33.2']",NULL,https://pleiades.stoa.org/places/501409,NULL,https://wikidata.org/wiki/Q3719711,NULL,NULL,NULL,NULL
22.05141,37.11343,"Meteoros high ground at Thouria's original settlement","Messenia Bk4",Thouria,['koryphe'],['4.31.2'],Thouria,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23.34285,37.997,"straight street in Megara","Megarid Bk1","Megara (Megarid)",['hodos'],['1.44.2'],"Megara (Megarid)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
16.23715,38.20782,"Lokroi Epizephyrioi","Italia (Europe)","Italia (Europe)",['polis'],"['3.3.1','6.6.4']",NULL,https://pleiades.stoa.org/places/452369,NULL,https://wikidata.org/wiki/Q3836325,NULL,NULL,NULL,NULL
23.34285,37.997,"mountains above Megara","Megarid Bk1","Megara (Megarid)",['oros'],['1.41.2'],"Megara (Megarid)",NULL,NULL,https://wikidata.org/wiki/Q124644621,NULL,NULL,NULL,NULL
22.15,37.45,Parrasia,"Arcadia Bk8","Arcadia Bk8",['chora'],"['8.27.2','8.27.4','8.38.3']",NULL,https://pleiades.stoa.org/places/570564,NULL,https://wikidata.org/wiki/Q7139774,NULL,Parrhasia,NULL,NULL
23.3178,38.3191,"House of Amphitryon in Thebes, in ruins, left of the Electra gate","Boiotia Bk9","Thebes (Boeotia)",['oikia'],['9.11.1'],"Thebes (Boeotia)",NULL,NULL,NULL,NULL,NULL,NULL,NULL
27.535590000000003,37.83698,"Lethaios (river, Asia Minor)","Asia (continent)","Ionia (region)",['potamos'],"['1.35.6','10.32.6','5.21.10','6.17.3']",NULL,https://pleiades.stoa.org/places/599765,NULL,NULL,NULL,NULL,NULL,NULL
24.506303000000003,37.154596,"Seriphos (settlement)","Aegean Sea (Hellas)","Cyclades region (Aegean)",['nesos'],['2.18.1'],NULL,https://pleiades.stoa.org/places/590043,NULL,https://wikidata.org/wiki/Q217214,NULL,NULL,NULL,NULL
22.992664,37.9158514,"Pine trees at Poseidon sanctuary (Isthmia)","Corinthia Bk2","Isthmian Poseidon sanctuary at Isthmia",['peuke'],['2.1.7'],"Isthmian Poseidon sanctuary at Isthmia",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22.3777,38.1286,"Sanctuary of Ourania at Aigeira","Achaia Bk7","Aigeira (Achaia)",['hieron'],['7.26.7'],"Aigeira (Achaia)",NULL,NULL,https://wikidata.org/wiki/Q134037154,NULL,NULL,NULL,NULL
