"nodegoat ID",Identifier,Sort_order,"[AnimationClock] Location Reference","[AnimationClock] Date Start","[Location] Geometry"
ngNU7Z980PEN9NaJ2NW73WUGRNmCdVaACPFx9RUJ,1.18.4,102,"Sanctuary of Sarapis in lower city of Athens",10-10-165,"{""type"": ""Point"", ""coordinates"": [23.726, 37.974]}"
ngOV8A081PbO0ObG3OX82XVjSOHDeWbBDP0y0SVG,1.18.5,103,"Temple of Eileithyia, Athens",11-10-165,"{""type"": ""Point"", ""coordinates"": [23.726499999999998, 37.9742]}"
ngPW8f182PGP3PcT4PI93YWoTPoEfXcgEPHz3TWT,1.18.6,104,"Sanctuary of Olympian Zeus at Athens",12-10-165,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[23.731928794769402, 37.96996300325199], [23.731928794769402, 37.96870966319457], [23.734404873780818, 37.96870966319457], [23.734404873780818, 37.96996300325199], [23.731928794769402, 37.96996300325199]]]}]}"
ngQX8g283QHQ7QdM5SZ06ZXFUQJFgYdhFQIa7UXM,1.18.7,105,"Sanctuary of Olympian Zeus at Athens",13-10-165,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[23.731928794769402, 37.96996300325199], [23.731928794769402, 37.96870966319457], [23.734404873780818, 37.96870966319457], [23.734404873780818, 37.96996300325199], [23.731928794769402, 37.96996300325199]]]}]}"
ngRY8D384TYR8ReJ6SA15AYKVRqGhZeEGTZb8VYJ,1.18.8,106,"Sanctuary of Olympian Zeus at Athens",14-10-165,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[23.731928794769402, 37.96996300325199], [23.731928794769402, 37.96870966319457], [23.734404873780818, 37.96870966319457], [23.734404873780818, 37.96996300325199], [23.731928794769402, 37.96996300325199]]]}]}"
ngSZ8q485UJSeSfA7S52cBZjWSrHiAfrHUKceWZA,1.18.9,107,"Library of Hadrian in Athens",15-10-165,"{""type"": ""Point"", ""coordinates"": [23.7257, 37.9755]}"
ngTA8r586UgTfTgP8Us37CAIXUMIjBgsIU5dfXAP,1.19.1,108,"Apollo Delphinios sanctuary, Athens",16-10-165,"{""type"": ""Point"", ""coordinates"": [23.7329, 37.9686]}"
ngUB8M687ULUeUhM9VN46DBVYUDIgC7fJUCeeYBI,1.19.2,109,"Gardens, location, Athens",17-10-165,"{""type"": ""Point"", ""coordinates"": [23.7329, 37.9686]}"
ngVC8t788XCVgVip0W857ECAZWOKlDiuKXDfgZCp,1.19.3,110,"Kynosarges sanctuary south of Athens",18-10-165,"{""type"": ""Point"", ""coordinates"": [23.732, 37.966]}"
ngWD8u889WjW3WjI1Wv6jFDLAXPLmEjvLW8g3ADI,1.19.4,111,"Tomb of Nisos, Athens",19-10-165,"{""type"": ""Point"", ""coordinates"": [23.743299999999998, 37.974]}"
