BookID,Place,Links,Lat,Lon,Type,Label,Tags,Comments
1.1.5,ἄγαλμα,http://arachne.dainst.org/entity/3585905,36.363599,25.477856,NULL,"Cult image: Hera  Alt-Thera (Paus. 1.1.5)","object|agalma|Paus|t - nun|t - present|f - they say|b - Alkamenes|Hera","statue, Hera, temple of Hera at Phaleron"
1.1.5,Ἀθήνας,http://pleiades.stoa.org/places/579885,37.971687,23.726464,settlement,"Athenae, Athína|Athenae","built|settlement|Paus|l - es",NULL
1.1.5,"ἄκρα Κωλιάς",http://topostext.org/place/379236LKol,37.8945,23.717,NULL,"Kolias cape (Attica)","physical|akra|Paus|l - apechei|l - stades",NULL
1.1.5,αὐτὸν,http://topostext.org/binder/JB1518,37.9718,23.72793,NULL,"Hera, Phaleron temple","built|temple|t - Persian War|f - they say|Hera",NULL
1.1.5,Γενετυλλίδες,http://arachne.dainst.org/entity/3652650,37.894568,23.71577,NULL,"Standing statues: Genetyllides (entspr. Eileithyiai)  Agios Kosmas (Paus. 1.1.5)","object|agalma|Paus|Genetyllides|Q61679150|n - onomazō|agency","Q61679150|person|statue, Genetyllides, Kolias cape (tt:379236LKol)"
1.1.5,ἐνταῦθα,http://topostext.org/place/379236LKol,37.8945,23.717,NULL,"Kolias cape (Attica)","physical|cape|Paus|lx: entautha",NULL
1.1.5,Ἰωνίᾳ,http://pleiades.stoa.org/places/550597,38.258572855555556,27.36601213333333,region,"Ionia (region)","regional|f - narrator|analogic",NULL
1.1.5,κλύδων,http://pleiades.stoa.org/places/560221,37.42245628773585,25.8829628235849,water-open,"Aegaeum Mare","physical|sea|t - Persian War|m - ferō|agency",NULL
1.1.5,Κωλιάδι,http://topostext.org/place/379236LKol,37.8945,23.717,NULL,"Kolias cape (Attica)","physical|cape|analogic|f - narrator",NULL
1.1.5,Μῆδος,http://pleiades.stoa.org/places/922698,30.5,51.5,unknown,Persis/Pars,"proxy|t - Persian War|f - narrator|x - not",1.1.5
1.1.5,ναὸς,http://topostext.org/binder/JB1518,37.9718,23.72793,NULL,"Hera, Phaleron temple","built|naos|Paus|Hera|x - not",NULL
1.1.5,ναυάγια,http://pleiades.stoa.org/places/922698,30.5,51.5,unknown,Persis/Pars,"proxy|t - Persian War",wrecks
1.1.5,"ναυτικοῦ τοῦ Μήδων",http://pleiades.stoa.org/places/922698,30.5,51.5,unknown,Persis/Pars,"proxy|t - Persian War|tr - phtheirō",navy
1.1.5,ταύτην,http://topostext.org/place/379236LKol,37.8945,23.717,NULL,"Kolias cape (Attica)","physical|cape|t - Persian War",NULL
1.1.5,τοῦτό,http://arachne.dainst.org/entity/3585905,36.363599,25.477856,NULL,"Cult image: Hera  Alt-Thera (Paus. 1.1.5)","object|statue|t - Persian War|f - narrator|Hera","statue, Hera, temple of Hera at Phaleron"
1.1.5,Φαληροῦ,http://pleiades.stoa.org/places/580072,37.9373,23.7062,settlement,"Phaleron, Palio Faliro|Phaleron","built|settlement|Paus|l - ek",NULL
1.1.5,Φωκαεῦσι,http://pleiades.stoa.org/places/550823,38.6684,26.75261,"settlement-modern,settlement","Phocaea/Phokaia, Foça, İzmir|Phocaea","proxy|analogic|f - narrator",NULL
1.2.1,Ἀθηναῖοι,http://pleiades.stoa.org/places/579885,37.971687,23.726464,settlement,"Athenae, Athína|Athenae",proxy|focaliser,NULL
1.2.1,Ἀθηναίοις,http://pleiades.stoa.org/places/579885,37.971687,23.726464,settlement,"Athenae, Athína|Athenae",proxy,1.2.1
1.2.1,Ἀμαζόνες,http://pleiades.stoa.org/places/857019,40.83378,36.53229,mountain,"Amazonius Mons, above Themiskyra plain|Amazonius M.","proxy|t - heroic age|f - Athenians|m - erchomai",Q134154
1.2.1,Ἀμαζόνος,http://pleiades.stoa.org/places/857019,40.83378,36.53229,mountain,"Amazonius Mons, above Themiskyra plain|Amazonius M.",proxy,Q134154
1.2.1,Θεμίσκυραν,http://pleiades.stoa.org/places/857350,41.215176,36.967737,settlement,"Themiskyra, at or near Terme|Themiskyra","built|settlement|t - heroic age|f - Hegias",NULL
1.2.1,Θερμώδοντι,http://pleiades.stoa.org/places/857352,41.1939559,36.9424975,river,"Thermodon (river)","physical|river|t - heroic age|f - Hegias",NULL
1.2.1,μνῆμά,http://topostext.org/binder/JB2128,37.975,23.725,NULL,"Molpadia, tomb",built|mnema|opsis|Molpadia,NULL
1.2.1,μνῆμα,http://topostext.org/place/380237AAmz,37.9707,23.7226,NULL,"Amazoneion memorial (Athens)","built|mnema|Paus|f - narratee|Antiope",NULL
1.2.1,πόλιν,http://pleiades.stoa.org/places/579885,37.971687,23.726464,settlement,"Athenae, Athína|Athenae","built|polis|Paus|l - es|f - narratee",NULL
1.2.1,Τροιζηνίῳ,http://pleiades.stoa.org/places/570756,37.50303,23.34845,settlement,"Troizen, Damala|Troizen",proxy,NULL
1.2.1,χωρίον,http://pleiades.stoa.org/places/857350,41.215176,36.967737,settlement,"Themiskyra, at or near Terme|Themiskyra","built|chorion|t - heroic age|f - Hegias","chorion = a settlement"
1.2.2,ἃ,http://topostext.org/place/380237FLW1,37.96235,23.7026,NULL,"S Long Wall 1 (Athens)","built|wall|t - post-Peloponnesian War|t - husteron|b - Konon",NULL
1.2.2,καθῃρέθη,http://topostext.org/place/380237FLW1,37.96235,23.7026,NULL,"S Long Wall 1 (Athens)","built|wall|t - Peloponnesian War|tr - haireomai|trx: haireō",NULL
